method,seed,test_accuracy,macro_f1,train_time_s,infer_time_ms_per_sample,infer_forward_median_ms_per_sample,infer_end_to_end_median_ms_per_sample,infer_timing_repeats,infer_batching,stdp_weight_saturation_pct,stdp_weight_saturation_upper_pct,stdp_winner_margin_mean,notes
logreg_pixels,11,98.055556,0.980578,0.007611,0.000709,,,,,,,,phase2_auto_baseline
mlp_pixels,11,97.500000,0.974899,0.217091,0.001201,,,,,,,,phase2_auto_baseline
logreg_spike_encoded_rates,11,95.833333,0.958467,0.013961,0.000940,,,,,,,,phase2_auto_baseline_encoded_rates
logreg_pixels,23,98.055556,0.980578,0.006301,0.000587,,,,,,,,phase2_auto_baseline
mlp_pixels,23,98.611111,0.986005,0.215015,0.001231,,,,,,,,phase2_auto_baseline
logreg_spike_encoded_rates,23,96.666667,0.966757,0.014052,0.001197,,,,,,,,phase2_auto_baseline_encoded_rates
logreg_pixels,37,98.055556,0.980578,0.006329,0.000521,,,,,,,,phase2_auto_baseline
mlp_pixels,37,98.333333,0.983048,0.212271,0.001091,,,,,,,,phase2_auto_baseline
logreg_spike_encoded_rates,37,96.944444,0.969319,0.015587,0.000997,,,,,,,,phase2_auto_baseline_encoded_rates
logreg_pixels,41,98.055556,0.980578,0.006682,0.000497,,,,,,,,phase2_auto_baseline
mlp_pixels,41,98.055556,0.980197,0.237159,0.001352,,,,,,,,phase2_auto_baseline
logreg_spike_encoded_rates,41,95.277778,0.952677,0.011089,0.000973,,,,,,,,phase2_auto_baseline_encoded_rates
logreg_pixels,53,98.055556,0.980578,0.006209,0.000497,,,,,,,,phase2_auto_baseline
mlp_pixels,53,98.611111,0.986016,0.219740,0.001139,,,,,,,,phase2_auto_baseline
logreg_spike_encoded_rates,53,95.833333,0.957864,0.013098,0.001516,,,,,,,,phase2_auto_baseline_encoded_rates
hybrid_encoder_local_readout,11,90.000000,0.900265,0.145947,0.000160,0.000160,0.008796,100,full_test_vectorized,,,,phase2_auto_hybrid_local_rule
pure_stdp_ei,11,92.222222,0.920360,0.103078,0.000654,0.000654,0.009453,100,full_test_vectorized,2.746582,0.000000,0.023591,phase2_auto_stdp_competitive_proxy
hybrid_encoder_local_readout,23,84.166667,0.843447,0.146194,0.000161,0.000161,0.008730,100,full_test_vectorized,,,,phase2_auto_hybrid_local_rule
pure_stdp_ei,23,81.944444,0.814207,0.104254,0.000656,0.000656,0.009410,100,full_test_vectorized,2.681478,0.000000,0.021336,phase2_auto_stdp_competitive_proxy
hybrid_encoder_local_readout,37,83.333333,0.812325,0.145746,0.000160,0.000160,0.008775,100,full_test_vectorized,,,,phase2_auto_hybrid_local_rule
pure_stdp_ei,37,86.111111,0.858339,0.101564,0.000650,0.000650,0.009356,100,full_test_vectorized,2.453613,0.000000,0.024828,phase2_auto_stdp_competitive_proxy
hybrid_encoder_local_readout,41,92.777778,0.926483,0.145943,0.000161,0.000161,0.008744,100,full_test_vectorized,,,,phase2_auto_hybrid_local_rule
pure_stdp_ei,41,86.944444,0.878947,0.101944,0.000648,0.000648,0.009430,100,full_test_vectorized,2.465820,0.000000,0.022791,phase2_auto_stdp_competitive_proxy
hybrid_encoder_local_readout,53,81.666667,0.798787,0.146275,0.000160,0.000160,0.008822,100,full_test_vectorized,,,,phase2_auto_hybrid_local_rule
pure_stdp_ei,53,88.611111,0.884269,0.101860,0.000658,0.000658,0.009402,100,full_test_vectorized,2.421061,0.000000,0.022027,phase2_auto_stdp_competitive_proxy
